open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1586438160000,7303.79000000,7305.82000000,7292.54000000,7295.99000000,68.03751800,1586438219999,496750.04872169,668,31.95866700,233332.16778199,0
1586438220000,7295.89000000,7299.91000000,7293.84000000,7298.68000000,32.44832200,1586438279999,236736.65998676,366,17.22227900,125648.31059019,0
1586438280000,7299.24000000,7300.00000000,7295.15000000,7297.88000000,20.07163700,1586438339999,146492.01470150,378,13.59355700,99218.11801633,0
1586438340000,7297.06000000,7323.00000000,7296.93000000,7322.45000000,182.10211700,1586438399999,1331807.15675418,1606,126.87483300,928014.24393397,0
1586438400000,7322.96000000,7342.49000000,7322.96000000,7332.38000000,316.79647200,1586438459999,2322930.42168183,3031,216.13027700,1584871.86577910,0
1586438460000,7332.38000000,7335.00000000,7320.04000000,7331.61000000,114.20392500,1586438519999,836616.52218885,1220,55.24820300,404781.58566619,0
1586438520000,7331.60000000,7332.25000000,7317.38000000,7324.52000000,96.31159000,1586438579999,705278.48148309,747,67.56015800,494671.27694281,0
1586438580000,7324.52000000,7324.52000000,7317.46000000,7321.20000000,42.38562600,1586438639999,310315.95414478,625,23.26560700,170332.25590486,0
1586438640000,7321.71000000,7323.12000000,7315.00000000,7316.82000000,67.36209300,1586438699999,492934.78356896,496,19.43864300,142284.20229161,0
1586438700000,7316.81000000,7320.00000000,7306.31000000,7319.84000000,112.80615400,1586438759999,825005.88926422,780,27.06845600,198017.35572237,0
1586438760000,7319.55000000,7324.51000000,7316.07000000,7319.66000000,84.81146500,1586438819999,620883.24763097,495,54.66882500,400212.86963602,0
1586438820000,7320.14000000,7322.38000000,7317.53000000,7320.00000000,44.23615500,1586438879999,323776.41037876,406,22.42108500,164118.56263327,0
1586438880000,7319.69000000,7326.06000000,7315.53000000,7316.32000000,96.47693700,1586438939999,706360.48712525,744,49.96204300,365825.07926025,0
1586438940000,7315.73000000,7316.59000000,7300.00000000,7300.28000000,96.68269600,1586438999999,706379.77074114,969,20.27566600,148112.44165602,0
1586439000000,7300.28000000,7309.94000000,7300.00000000,7303.37000000,78.40653300,1586439059999,572563.31648236,693,25.83947600,188736.33544861,0
1586439060000,7303.37000000,7308.03000000,7301.52000000,7305.00000000,47.81428000,1586439119999,349282.21101122,487,20.09853400,146833.54756004,0
1586439120000,7304.99000000,7318.61000000,7304.99000000,7311.55000000,68.09454000,1586439179999,497932.53801706,665,43.57609800,318616.17617328,0
1586439180000,7311.77000000,7311.77000000,7302.11000000,7302.75000000,28.32878700,1586439239999,207035.85838246,465,10.99233700,80330.04254468,0
1586439240000,7302.12000000,7304.71000000,7290.90000000,7294.84000000,69.20068700,1586439299999,504994.65326376,890,15.96350300,116482.54916481,0
1586439300000,7294.83000000,7312.19000000,7294.76000000,7311.64000000,41.34866800,1586439359999,302007.82574268,521,28.59782000,208892.70801500,0
1586439360000,7311.65000000,7325.00000000,7311.55000000,7325.00000000,83.07968500,1586439419999,608036.42690203,1024,54.30349900,397437.87002362,0
1586439420000,7325.00000000,7325.00000000,7310.12000000,7313.51000000,55.04523300,1586439479999,402835.73379591,634,28.34684700,207453.65647732,0
1586439480000,7312.53000000,7317.01000000,7304.95000000,7315.88000000,50.30527700,1586439539999,367747.16191850,627,19.91091700,145556.01530662,0
1586439540000,7316.04000000,7320.00000000,7311.77000000,7318.55000000,35.04274600,1586439599999,256429.82520975,530,13.23702000,96875.26790951,0
1586439600000,7318.50000000,7323.06000000,7313.50000000,7313.51000000,88.94050600,1586439659999,651024.17404975,440,30.25762300,221436.37305575,0
1586439660000,7313.50000000,7324.00000000,7310.00000000,7321.99000000,36.95796400,1586439719999,270424.11177426,544,22.96105500,168010.47276444,0
1586439720000,7321.99000000,7324.70000000,7317.09000000,7319.38000000,54.16895700,1586439779999,396533.16693147,685,26.05468300,190724.25392306,0
1586439780000,7319.37000000,7330.00000000,7319.15000000,7325.35000000,124.44732600,1586439839999,911538.07412838,1215,68.39549700,501017.89961700,0
1586439840000,7326.21000000,7328.32000000,7321.18000000,7328.32000000,41.35034900,1586439899999,302926.73054251,547,25.09762600,183872.24910999,0
1586439900000,7328.31000000,7333.00000000,7326.67000000,7330.00000000,81.74827200,1586439959999,599228.84600078,689,56.98574000,417723.92148122,0
1586439960000,7330.00000000,7337.04000000,7328.16000000,7332.57000000,154.24144100,1586440019999,1131254.64136683,864,59.88416900,439146.46119399,0
1586440020000,7332.57000000,7336.43000000,7330.71000000,7333.83000000,42.12547700,1586440079999,308958.82299056,652,18.17171900,133286.95458683,0
1586440080000,7333.83000000,7334.79000000,7321.01000000,7322.88000000,76.34759400,1586440139999,559451.95147164,1019,18.59485300,136243.12510134,0
1586440140000,7322.87000000,7322.88000000,7312.56000000,7314.94000000,126.55060400,1586440199999,925849.15307787,912,78.71814400,575855.35132920,0
1586440200000,7316.25000000,7323.32000000,7314.81000000,7319.77000000,26.73975600,1586440259999,195701.71381627,454,15.48280200,113318.81542840,0
1586440260000,7319.77000000,7320.06000000,7313.78000000,7319.72000000,36.60590800,1586440319999,267889.52658467,387,16.98151000,124267.62554367,0
1586440320000,7318.83000000,7320.95000000,7313.86000000,7314.92000000,21.09318200,1586440379999,154330.97539132,375,15.13956500,110774.66918471,0
1586440380000,7314.91000000,7326.21000000,7312.58000000,7320.58000000,60.36707500,1586440439999,441869.33678300,527,34.65700700,253631.35878641,0
1586440440000,7319.75000000,7330.45000000,7318.13000000,7328.91000000,53.49183600,1586440499999,391827.84758752,466,32.26629300,236372.33728522,0
1586440500000,7329.98000000,7335.00000000,7328.97000000,7332.42000000,57.32999600,1586440559999,420313.35802162,574,26.59302600,194978.48716407,0
1586440560000,7330.80000000,7338.00000000,7330.03000000,7332.76000000,81.82207800,1586440619999,600007.93449226,692,43.43669700,318560.28338910,0
1586440620000,7331.93000000,7335.99000000,7325.00000000,7332.99000000,62.55356900,1586440679999,458556.37688830,714,27.32364700,200298.93151639,0
1586440680000,7331.57000000,7337.99000000,7329.50000000,7332.88000000,38.71627800,1586440739999,283929.21303561,443,13.55152800,99389.71685785,0
1586440740000,7332.87000000,7336.81000000,7327.67000000,7327.68000000,38.39006300,1586440799999,281518.82948641,355,12.19000700,89408.45438009,0
