open_time,open,high,low,close,volume
2020-04-09 12:29:00,7243.47,7248.78,7238.0,7246.08,43.975368
2020-04-09 12:30:00,7246.09,7250.0,7230.62,7241.56,188.11101
2020-04-09 12:31:00,7241.09,7268.95,7235.84,7257.65,308.772946
2020-04-09 12:32:00,7257.55,7257.55,7240.5,7247.38,106.207409
2020-04-09 12:33:00,7247.38,7249.17,7236.93,7240.66,106.424667
2020-04-09 12:34:00,7240.65,7244.85,7229.5,7230.46,82.447744
2020-04-09 12:35:00,7230.58,7237.93,7227.95,7236.6,54.53996
2020-04-09 12:36:00,7236.6,7243.42,7233.33,7238.01,84.999919
2020-04-09 12:37:00,7238.55,7242.89,7234.05,7235.65,41.817374
2020-04-09 12:38:00,7234.99,7239.95,7233.1,7238.59,43.21987
2020-04-09 12:39:00,7238.24,7238.26,7228.0,7228.4,56.972471
2020-04-09 12:40:00,7228.09,7239.84,7226.07,7233.29,86.752433
2020-04-09 12:41:00,7230.79,7231.27,7221.39,7227.47,36.436354
2020-04-09 12:42:00,7227.47,7234.27,7226.98,7233.26,26.146889
2020-04-09 12:43:00,7233.76,7244.99,7233.76,7240.32,74.253788
2020-04-09 12:44:00,7240.33,7248.49,7232.01,7237.23,76.851862
2020-04-09 12:45:00,7238.2,7239.77,7226.2,7233.3,33.074612
2020-04-09 12:46:00,7233.3,7237.57,7227.04,7228.29,36.843328
2020-04-09 12:47:00,7228.35,7240.0,7228.35,7239.45,21.275965
2020-04-09 12:48:00,7239.56,7247.0,7238.12,7243.55,48.942014
2020-04-09 12:49:00,7243.6,7247.38,7237.34,7242.68,57.565759
2020-04-09 12:50:00,7242.92,7248.45,7238.92,7241.78,57.28191
2020-04-09 12:51:00,7242.79,7252.29,7241.14,7247.69,61.881146
2020-04-09 12:52:00,7247.86,7282.26,7247.24,7263.28,237.138439
2020-04-09 12:53:00,7263.29,7300.0,7262.6,7290.89,310.27132
2020-04-09 12:54:00,7290.89,7298.0,7280.2,7287.21,143.186815
2020-04-09 12:55:00,7287.34,7287.34,7276.65,7279.61,88.877303
2020-04-09 12:56:00,7279.6,7295.0,7278.0,7293.09,97.233476
2020-04-09 12:57:00,7292.9,7300.0,7287.04,7299.0,91.966298
2020-04-09 12:58:00,7299.0,7304.68,7297.23,7301.99,228.417508
2020-04-09 12:59:00,7301.99,7308.85,7298.03,7303.03,132.012637
2020-04-09 13:00:00,7303.03,7308.83,7297.68,7299.67,202.974805
2020-04-09 13:01:00,7300.46,7303.46,7286.22,7292.4,151.674815
2020-04-09 13:02:00,7291.27,7292.96,7280.0,7290.75,83.854308
2020-04-09 13:03:00,7290.75,7298.73,7283.32,7286.58,47.88898
2020-04-09 13:04:00,7286.27,7291.25,7276.92,7276.92,60.961117
2020-04-09 13:05:00,7277.52,7287.69,7276.14,7284.71,23.964664
2020-04-09 13:06:00,7284.71,7299.99,7284.71,7292.14,72.940198
2020-04-09 13:07:00,7291.98,7299.11,7288.53,7292.76,66.554922
2020-04-09 13:08:00,7292.26,7297.09,7289.07,7293.08,60.479239
2020-04-09 13:09:00,7294.08,7299.88,7292.54,7294.4,40.116223
2020-04-09 13:10:00,7294.69,7297.23,7288.0,7297.23,27.278114
2020-04-09 13:11:00,7297.24,7304.26,7294.95,7303.96,84.933166
2020-04-09 13:12:00,7302.97,7310.11,7300.41,7306.2,96.847136
2020-04-09 13:13:00,7306.78,7308.52,7298.42,7301.84,67.4526
2020-04-09 13:14:00,7301.35,7304.96,7294.66,7296.95,41.544767
2020-04-09 13:15:00,7296.93,7304.89,7291.53,7303.08,94.730788
2020-04-09 13:16:00,7303.79,7305.82,7292.54,7295.99,68.037518
2020-04-09 13:17:00,7295.89,7299.91,7293.84,7298.68,32.448322
2020-04-09 13:18:00,7299.24,7300.0,7295.15,7297.88,20.071637
2020-04-09 13:19:00,7297.06,7323.0,7296.93,7322.45,182.102117
2020-04-09 13:20:00,7322.96,7342.49,7322.96,7332.38,316.796472
2020-04-09 13:21:00,7332.38,7335.0,7320.04,7331.61,114.203925
2020-04-09 13:22:00,7331.6,7332.25,7317.38,7324.52,96.31159
2020-04-09 13:23:00,7324.52,7324.52,7317.46,7321.2,42.385626
2020-04-09 13:24:00,7321.71,7323.12,7315.0,7316.82,67.362093
2020-04-09 13:25:00,7316.81,7320.0,7306.31,7319.84,112.806154
2020-04-09 13:26:00,7319.55,7324.51,7316.07,7319.66,84.811465
2020-04-09 13:27:00,7320.14,7322.38,7317.53,7320.0,44.236155
2020-04-09 13:28:00,7319.69,7326.06,7315.53,7316.32,96.476937
2020-04-09 13:29:00,7315.73,7316.59,7300.0,7300.28,96.682696
2020-04-09 13:30:00,7300.28,7309.94,7300.0,7303.37,78.406533
2020-04-09 13:31:00,7303.37,7308.03,7301.52,7305.0,47.81428
