open_time,open,high,low,close,volue
2020-04-12 12:30:00,6811.0,6812.5,6810.5,6812.5,695669.0
2020-04-12 12:31:00,6812.5,6812.5,6812.0,6812.0,351524.0
2020-04-12 12:32:00,6812.0,6812.5,6812.0,6812.0,126524.0
2020-04-12 12:33:00,6812.0,6812.5,6812.0,6812.5,82308.0
2020-04-12 12:34:00,6812.5,6812.5,6811.0,6811.0,362180.0
2020-04-12 12:35:00,6811.0,6811.5,6811.0,6811.0,88940.0
2020-04-12 12:36:00,6811.0,6811.5,6810.5,6810.5,506644.0
2020-04-12 12:37:00,6810.5,6811.0,6810.5,6810.5,169900.0
2020-04-12 12:38:00,6810.5,6818.5,6810.5,6818.5,1552426.0
2020-04-12 12:39:00,6818.5,6818.5,6818.0,6818.0,470901.0
2020-04-12 12:40:00,6818.0,6818.5,6815.5,6816.0,386254.0
2020-04-12 12:41:00,6816.0,6816.0,6815.0,6815.0,799397.0
2020-04-12 12:42:00,6815.0,6815.5,6815.0,6815.0,28725.0
2020-04-12 12:43:00,6815.0,6823.0,6815.0,6823.0,2152395.0
2020-04-12 12:44:00,6823.0,6823.0,6822.5,6823.0,282513.0
2020-04-12 12:45:00,6823.0,6823.0,6822.0,6822.5,427075.0
2020-04-12 12:46:00,6822.5,6822.5,6822.0,6822.0,85754.0
2020-04-12 12:47:00,6822.0,6822.5,6821.5,6821.5,259752.0
2020-04-12 12:48:00,6821.5,6822.0,6821.5,6821.5,30233.0
2020-04-12 12:49:00,6821.5,6822.0,6821.5,6822.0,103354.0
2020-04-12 12:50:00,6822.0,6822.0,6821.0,6821.0,237249.0
2020-04-12 12:51:00,6821.0,6821.5,6820.0,6820.0,453671.0
2020-04-12 12:52:00,6820.0,6820.0,6819.0,6819.0,234487.0
2020-04-12 12:53:00,6819.0,6821.5,6819.0,6821.5,450861.0
2020-04-12 12:54:00,6821.5,6822.5,6821.0,6822.5,110581.0
2020-04-12 12:55:00,6822.5,6822.5,6822.0,6822.5,418711.0
2020-04-12 12:56:00,6822.5,6822.5,6822.0,6822.5,36475.0
2020-04-12 12:57:00,6822.5,6823.5,6822.5,6823.0,1246832.0
2020-04-12 12:58:00,6823.0,6823.5,6823.0,6823.0,74627.0
2020-04-12 12:59:00,6823.0,6824.0,6823.0,6824.0,938138.0
2020-04-12 13:00:00,6824.0,6824.0,6823.5,6824.0,553835.0
2020-04-12 13:01:00,6824.0,6824.0,6818.5,6818.5,1318594.0
2020-04-12 13:02:00,6818.5,6819.0,6818.5,6818.5,118406.0
2020-04-12 13:03:00,6818.5,6819.0,6818.5,6818.5,148148.0
2020-04-12 13:04:00,6818.5,6819.0,6818.5,6819.0,43377.0
2020-04-12 13:05:00,6819.0,6819.0,6818.5,6818.5,215078.0
2020-04-12 13:06:00,6818.5,6819.5,6818.5,6819.5,373834.0
2020-04-12 13:07:00,6819.5,6821.5,6819.0,6821.5,279103.0
